"","NAICSD","NAICS.6","businesses","employment","emp.by.biz"
"1","Architectural Services","541310",1094,9829,8.98
"2","Fine Arts Schools","611610",621,4345,7
"3","Photography Studios, Portrait","541921",606,1188,1.96
"4","Interior Design Services","541410",583,1945,3.34
"5","Museums","712110",530,4945,9.33
"6","Graphic Design Services","541430",444,2341,5.27
"7","Commercial Printing (except Screen and Books)","323111",405,3902,9.63
"8","Independent Artists, Writers, and Performers","711510",373,2208,5.92
"9","Other Performing Arts Companies","711190",351,2563,7.3
"10","Nature Parks and Other Similar Institutions","712190",333,3988,11.98
"11","Advertising Agencies","541810",269,5855,21.77
"12","Theater Companies and Dinner Theaters","711110",246,2339,9.51
"13","Motion Picture and Video Production","512110",222,1029,4.64
"14","Landscape Architectural Services","541320",172,1020,5.93
"15","Commercial Photography","541922",119,205,1.72
"16","Sound Recording Studios","512240",96,257,2.68
"17","Musical Groups and Artists","711130",89,571,6.42
"18","Motion Picture Theaters (except Drive-Ins)","512131",87,1578,18.14
"19","Commercial Screen Printing","323113",71,601,8.46
"20","Other Specialized Design Services","541490",57,254,4.46
"21","Historical Sites","712120",51,358,7.02
"22","Indoor and Outdoor Display Advertising","541850",45,807,17.93
"23","Ornamental and Architectural Metal Work Manufactur","332323",45,236,5.24
"24","Jewelry, Watch, Precious Stone, and Precious Metal","423940",44,152,3.45
"25","Jewelry and Silverware Manufacturing","339910",43,1022,23.77
"26","One-Hour Photofinishing","812922",32,102,3.19
"27","Teleproduction and Other Postproduction Services","512191",32,87,2.72
"28","Dance Companies","711120",31,156,5.03
"29","Unclassified Establishments","541810",29,182,6.28
"30","Music Publishers","512230",20,88,4.4
"31","Other Sound Recording Industries","512290",20,113,5.65
"32","Media Representatives","541840",19,301,15.84
"33","Zoos and Botanical Gardens","712130",19,346,18.21
"34","Support Activities For Printing","323120",17,471,27.71
"35","Photographic Equipment and Supplies Merchant Whole","423410",11,120,10.91
"36","Other Motion Picture and Video Industries","512199",10,113,11.3
"37","Musical Instrument Manufacturing","339992",9,298,33.11
"38","Other Pressed and Blown Glass and Glassware Manufa","327212",9,120,13.33
"39","Printing and Writing Paper Merchant Wholesalers","424110",9,312,34.67
"40","Audio and Video Equipment Manufacturing","334310",7,554,79.14
"41","Book, Periodical, and Newspaper Merchant Wholesale","424920",7,49,7
"42","Motion Picture and Video Distribution","512120",7,63,9
"43","Drafting Services","541340",5,10,2
"44","Drive-In Motion Picture Theaters","512132",5,8,1.6
"45","Media Buying Agencies","541830",5,84,16.8
"46","Photofinishing Laboratories (except One-Hour)","812921",5,15,3
"47","Office Supplies (except Paper) Manufacturing","339940",4,25,6.25
"48","Pottery, Ceramics, and Plumbing Fixture Manufactur","327110",3,25,8.33
"49","Books Printing","323117",2,13,6.5
